id,comment,sentiment,comment_length,word_count,words_sentiment
2700,morally bankrupt as well as incapable of make profit provide safe transportation at reasonable cost or pay driver fairly think worth chief executive write violence guarantee success,-1,251,36,0
148,exec break law so many time deny access info under police investigation even playbook for would and joke about amongst ,-1,213,33,0
1733,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
42,massive trove of internal document from reveal management discussion and lobbying effort during company rapid international expansion guardian,-1,200,25,0
3043,break law dupe police and build secret lobbying operation leak reveals guardian,-1,99,15,0
737,report lobby use stealth teach block scrutiny,-1,84,10,0
2406,top story file massive leak reveal top politician secretly help be news see,-1,155,20,0
3032,live matter,-1,18,3,0
560,break law dupe police and secretly lobby government leak reveal newspeak,-1,113,13,0
72,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
1380,break  gain access pronto through mayor john try entire taxi industry destroy  i oboli  cannoli canada  not pronto,-1,200,24,-1
1387,former e digital chief needle roe secretly help lobby dutch am leak suggest,-1,118,16,0
2740,drive hour day try and survive so delivery at as job lay everyone off month ago,-1,116,25,0
2092,file cab hail firm use ruthless tactic loophole in law expand business report,-1,122,16,0
2564,eat driver in shamble,-1,28,5,0
785,report lobby use stealth teach block scrutiny,-1,84,10,0
1441,start here in previous year more than uber driver physically attack across rope and dozen of car destroy in clash with taxi driver ex coo traves  push top lieutenant mount counterplot,-1,281,41,0
2459,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
1968,if afford buy food on uber afford tip than bitch to,-1,86,20,0
903,report lobby use stealth teach block scrutiny,-1,84,10,0
663,knee dirty but not filthy damn,-1,79,12,-1
2338,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
1897,in evidence break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,171,22,0
1235,leak text message email briefing note presentation and document in file reveal picture of close work relationship between top executive government bureaucrat and world leader  via ,-1,269,35,-1
1551,go hear lot about leak document file guide cab hail firm ruthless expansion tactic,-1,170,25,0
2243,lobby use stealth teach block scrutiny report,-1,84,10,0
1920,try shore support by discreetly court prime minister president billionaire oligarch and media baron,-1,124,17,0
2529, leak reveal spread fuck illegal ride sharing globally,-1,128,12,0
699,about file data leak  post  courtesy of new central christian business and networking website subscribe by follow on twitter ,-1,223,29,0
2469,lie and say extra fee tip give ape even allow tip high explain extra fee fraud theft,-1,136,27,0
2394,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
1439,namely  writing violence guarantee sic success in term of or absent context yes sound vaguely like say attack against driver helpful but with context suggestion lack basic common sense,-1,263,41,0
1125,massive leak reveal top politician secretly help via ,-1,105,12,0
95,report reveal sundae reveal extraordinary length undertake establish in nearly country,-1,146,18,0
839,report lobby use stealth teach block scrutiny,-1,84,10,0
2149,hope refuse work with director disrespect work disgusting see,-1,96,18,0
2568,yet another entitled bald man put horse out of work as bad as,-1,78,16,-1
3151,never like nor trust,-1,62,8,0
1971,wow not endorse behavior break law dupe police and secretly lobby government leak reveal,-1,144,20,-1
1502,look at product community and see ethical quandary navigate poorly or not at casebook and many lapse that make want cry,-1,166,30,-1
702,endgame dual death with politically connect taxi my funding for taxi debt repudiation forgiveness give taxi but not pay like dividend shareholder,-1,216,29,-1
2401,break law dupe police and secretly lobby government leak reveal guardian,-1,116,15,0
1647,sure could responsible and leave before last call ensure ride or do or drink less but make get home after night drinking as easy as drive drunk,-1,197,39,0
2205,break law dupe police and secretly lobby government leak reveal uber guardian,-1,123,17,0
2518,just fuck illegal and violence guarantee success fucking disgusting,-1,120,13,0
168,terrible but not case for pretty much every corporation guardian break law dupe police and secretly lobby government leak reveal,-1,187,26,-1
287,grovel wealthy donor and oligarch put in power,-1,74,13,0
1610,break law dupe police and secretly lobby government leak reveal guardian,-1,116,15,0
1806,leverage violent attack against driver pressure politician,-1,100,11,0
2669,break law dupe police and secretly lobby government leak reveal guardian,-1,141,16,0
2434,and vermouth share report use stealth teach block scrutiny include kill switch deny authority access electronic evidence international consortium of investigative journalist nonprofit network of thank,-1,292,35,0
1856,turn whilst obey law in order get ahead in life need criminal f c game exploit violence against driver and court politician leak file show send via ,-1,244,40,0
1074,lobby use stealth teach block scrutiny report,-1,84,10,0
2193,break law dupe police and secretly lobby government leak reveal guardian,-1,116,15,0
701,break law dupe police and build secret lobbying operation leak reveal smarter,-1,116,14,0
1753,to break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,163,21,0
2833,report lobby use stealth teach block scrutiny,-1,84,10,0
2543,break law dupe police and secretly lobby government leak reveal,-1,102,12,0
951,first morning walk find one almost get into wrong lane and get beep at for wonder mass driver not well than it,-1,169,33,-1
94,break law dupe police and secretly lobby government leak reveal guardian,-1,116,15,0
3522,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
2644,leak reveal top politician secretly help,-1,76,9,0
1809,every driver story and t even get into borrowing issue at first work empower then start take high commission while fare stay,-1,190,32,0
2535,key news update leak document reveal secretive relationship with top politician stock alert news and trade idea at  stock ,-1,195,24,0
1720,break law dupe police and build secret lobbying operation leak reveal smarter,-1,115,14,0
2961,takeaway from file investigation,-1,68,7,0
289,tip bother people just cheap star rating and mess with overall rating tremendous bitch make move,-1,155,29,0
1715,gig economy one huge labor exploitation con never use or of,-1,89,17,0
2544,leak company use covert teach thwart  raid under traves ,-1,107,14,0
129,be news file massive leak reveal top politician secretly help,-1,109,15,0
2159,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
1317,campaign ex mama aide help sell firm world,-1,88,12,0
974,color shock break law dupe police and secretly lobby government leak reveal capitalism teach techno,-1,156,19,0
533,scam loading leak cache of file from illustrate ethically dubious and potentially illegal tactic firm use grow global expansion   ,-1,220,30,0
1725,real conservative then and still manage bring cheap taxi fare reassurance cost of ride woman still afraid violence guarantee success exploit taxi protest uber guardian,-1,242,35,0
2187,think driver racist,-1,38,8,0
1285,it sensitive text email and memo from than internal record detail secret controversial tactic ride hail giant use storm into market across globe in word of executive and insider,-1,241,38,0
2186,just hear news and just believe of say about make want throw,-1,106,22,0
1192,driver anti masker know matter of time run into one,-1,82,19,0
342,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
3175,troll,-1,13,3,0
2786,break law dupe police and secretly lobby government leak reveal guardian,-1,116,15,0
2991,cause now wonder if dirty joke cope mechanism trauma or not amp now want read,-1,139,28,-1
3036,file massive leak reveal top politician secretly help,-1,99,12,0
753,instead of investigate predatory practice caravan competition authority open proceeding fine taxi association for boycott against freedom of speech,-1,181,26,0
2225,macron secret friend at heart of french government  keep taxi quiet and gather everybody next week prepare reform and correct law message continue not all all macron,-1,277,44,-1
2033,if mad at let mad about money spend lobby against public transport see as competition and research show timeshare increase congestion and pollution in city,-1,221,36,0
2776,file massive leak reveal top politician secretly help,-1,98,12,0
1910,file say company cut tax bill by million of dollar by send profit through bermudas and tax then seek deflect attention from tax liability by help authority collect taxis from driver,-1,242,40,0
2629,use secret tactic know as kill switch block law enforcement from access company datum during police raid leak document show,-1,198,26,0
1414,great scoop about trawl through thousand of leak file expose once court top politician and far go avoid justice if get time head over,-1,211,34,1
175,shame on uber company zero value,-1,68,9,0
1493,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
501,sorry hear about experience please send dm with phone number associate with account so assist far,-1,149,27,0
984,leak message suggest executive at time under illusion about company law breaking with one executive joke become pirate and another conceding just fucking illegal  hustle ,-1,279,36,-1
1767,use yesterday twice and door dash once last night every driver rude ass immigrant african avian and martian fucking asshole especially avian one never park semi in  for weekend again if help,-1,266,53,0
2320,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
2262,leak reveal spread fuck illegal ride sharing globally,-1,121,12,0
2214,file leak detail political lobbying make ride share global,-1,97,11,0
963, order burger eat and give two bun and meat piss,-1,91,18,0
894,report lobby use stealth teach block scrutiny,-1,84,10,0
2918,church file,-1,18,3,0
3188,holy crap not pay living wage not quit religious ass just child need partially train year old prepare for life not,-1,175,31,-1
3057,hit kill switch use covert teach thwart government raid,-1,96,13,0
2534,fuck,-1,10,2,0
2614,often get in transportation field magical techy glow over something fundamentally unworkable bad idea in case of that kind of hype brand magic carry for full decade of astronomical financial loss,-1,253,43,-1
2923,file massive leak reveal top politician secretly help be news,-1,109,15,0
1979,report lobby use stealth teach block scrutiny  times review,-1,108,13,0
965,and left become much more expensive and in cite taxi cooperate with ride hail ape wonder more recent datum from would indicate doubt that reckless vac funding distort business economic and society with devastating consequence,-1,280,44,0
2041,break law dupe police and secretly lobby government leak reveal guardian,-1,116,15,0
975,taxi available odd either walk towards motorway amp bump into jogger assume local nope america from texts on work retreat stop hear issue and say tell come along get hotel call taxi,-1,283,52,0
1548,not wait start telling call up home ,-1,69,13,-1
3028,so macron intercede on behalf in french taxi driver go on strike protest against timeshare company become president two year later,-1,187,27,0
2073,file leak document show lobby political leader relax taxi law,-1,108,14,0
1438,ironically reason  cabby harbor so much animus against driver people nothing wrong due concern over lose golden geese consider of highest pay driver on planet thank protectionist trade policy,-1,280,44,-1
1557,trophy and free for month,-1,44,9,0
1752,report lobby use stealth teach block scrutiny see full article,-1,128,15,0
2371,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
1236,oh dear sorry that problem with corrupt company entice passenger believe always go cheap unfortunately lose billion year and now investor want money back take taxi as driver pay more tax than,-1,282,51,-1
1940,leak reveal spread fuck illegal ride sharing globally science teach culture review art medium news conform,-1,182,20,0
2498,trove of confidential file reveal inside story of teach giant flout law dupe police exploit violence against driver and secretly lobby government during aggressive global expansion,-1,224,33,0
155,break law dupe police and secretly lobby government leak reveal via,-1,104,12,0
1634,leak document reveal secretive relationship with top politician fox business  politic news at politic news law attorney lawyer,-1,181,22,0
689,basil driver home use driver sand missile  aka lot,-1,88,17,0
2738, violence guarantee success break law dupe police and secretly lobby government leak reveal,-1,149,17,0
3135,deliberately dodged authority ignore rule in early year leak document show,-1,114,13,0
3507,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
419,break law dupe police and secretly lobby government leak reveal uber guardian,-1,123,17,0
2950,win access world leader deceive investigator and exploit violence against driver in battle for global dominance via ,-1,172,23,0
2957,part of secret as far as see describe strategy in every public occasion launch illegal use public support bully politician lobby like hell and traves asshole know honestly surprise,-1,278,50,0
3152,as steamroll into france empanel macron true ally,-1,93,12,0
1823,report lobby use stealth teach block scrutiny,-1,84,10,0
2097,of cover in tag case driver take direct booking for year amp build establish ride share as business by still actual proof that not still take booking til win publish  report on booking,-1,279,52,-1
163,break law dupe police and secretly lobby government leak reveal uber guardian,-1,123,17,0
3139,believe would really not really not,-1,77,15,-1
1065,amp left associate w increase in vet and attendant increase in road death and injury because lower cost of driving cannibalize transit benefit well and cheap than taxi or at least until vac froth run,-1,284,50,0
2142,leak reportedly reveal battle with government taxi firm and labor law,-1,105,13,0
424,break law dupe police and secretly lobby government leak reveal newspeak,-1,112,13,0
1427,kind of feel like basically just large vac fund criminal organization allegedly rich,-1,102,15,0
185,break law dupe police and secretly lobby government leak reveal,-1,102,12,0
1855,even before discriminatory woman rider preference ape by founder traves  force because of unproven allegation against show even before ,-1,218,28,0
2572,be news file massive leak reveal top politician secretly help,-1,109,15,0
1601,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
866,break law dupe police and secretly lobby government leak reveal guardian,-1,116,15,0
816,oh look politician corrupt in news sky blue file massive leak reveal top politician secretly help,-1,164,24,0
2213,leverage violent attack against driver pressure politician,-1,100,11,0
1759,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
1590,turn pop company break law dupe police and secretly lobby government leak reveal surprise at horrible company anyway look at,-1,195,29,0
146,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
712,report lobby use stealth teach block scrutiny,-1,84,10,0
698,lobby use stealth teach block scrutiny,-1,101,10,0
2646,worry about judge now rubbish just cut break law dupe police and secretly lobby government still use taxi,-1,198,32,0
2839,file massive leak reveal top politician secretly help matter must investigate and truth reveal if true legal and political consequence for rule break in commission and duplicity by macron in france,-1,278,40,0
1134,hire former adviser avid cameroon lead lobby in northern rope,-1,103,14,0
315,often wander undercut taxi industry,-1,54,9,0
2478,just finish watch show super pump battle for timing of article perfect toxic place appear,-1,156,27,0
2324,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
1255,so always suspect strategy rely on regulatory arbitrage rather than innovation and story confirm prior but say about vac investor not just fund mufti billion dollar loss but also massive lobbying effort,-1,281,40,-1
3109,boss tell staff use kill switch during raid stop police see datum guardian,-1,120,19,0
1398,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
2211,everyone in we or campaign know lucrative one leverage public sector connection for private entity seek access leader official and diplomat through ex mama aide avid pouffe and him messing leak show,-1,258,37,0
1517,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
1360,break law dupe police and secretly lobby government leak reveal ,-1,113,13,0
888,report lobby use stealth teach block scrutiny,-1,84,10,0
1024,report call file publish by nonprofit international consortium of investigative journalism and gather trove of corporate document email briefing and detail of tactic company use rapidly expand around world,-1,301,42,0
382,break law dupe police and secretly lobby government leak reveal,-1,105,13,0
2823,not surprised leak trove of confidential file reveal inside story of teach giant flout law dupe police exploit violence against driver amp secretly lobby government during aggressive global expansion,-1,279,39,-1
691,leak file reveal bare knuckle expansion tactic investigation,-1,95,9,0
3012,court politician help expand worldwide despite than legal status leak doc reportedly show,-1,140,18,0
1049,leverage violent attack against driver pressure politician,-1,99,11,0
1053,use kill switch during raid stop police see datum former coo tell executive violence guarantee success,-1,128,19,0
565,find on newspeak break law dupe police and secretly lobby government leak reveal,-1,129,17,0
2880,call girl not give head ink,-1,78,16,-1
290,damn casa armor excitement tell sex with anyone deem attractive give chance so thirsty undignified maybe look like uncle get desperate  ,-1,220,35,0
3534,hate of,-1,19,4,-1
1552,lobby politician use stealth technology block scrutiny report,-1,104,12,0
313,break law penetrate city around world,-1,77,10,0
775,leak file reveal bare knuckle expansion tactic investigation,-1,95,9,0
2223,break law dupe police and secretly lobby government leak reveal uber guardian,-1,123,17,0
509,tell driver go fast drive like kph tell taxi driver go fast fucking kill people in good way,-1,141,31,1
3185,break law dupe police and secretly lobby government leak reveal guardian,-1,119,15,0
2047,hit kill switch use covert teach thwart government raid ,-1,109,15,0
806,a citizen not cheap labor like  professional work for tip in a restaurant and driver salary stop come a and promote nonsense by cheap labor from zimbabwe,-1,207,33,-1
65,so careful with ape overcharge credit card and even though store confirm overcharge support terrible one minute see and next minute get sorry help  very disappointing,-1,247,40,-1
531,break law dupe police and secretly lobby government leak reveal ,-1,113,13,0
3536,not like,-1,17,4,-1
891,report lobby use stealth teach block scrutiny,-1,84,10,0
1278,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
1383,great leak story on,-1,50,6,1
1881,international consortium of investigative journalist say defied taxi law and upended worker right,-1,139,16,0
1880,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
2224,lobby politician break law in global push report say,-1,89,11,0
238,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
1428,just money laundering vehicle anymore,-1,79,10,0
801,tell evil,-1,24,6,0
905,report lobby use stealth teach block scrutiny,-1,84,10,0
2812,fucking hate driver get on save gas by keep indoor temperature of vehicle just barely compatible with human life if concerned about save money time for real change,-1,215,37,-1
321,new age company like  doodah puff grab and goes build large advertising business use similar datum learn brand get involve in evolve retail media trend coo personalization ,-1,300,36,0
2826,fan of and expose clearly show culture of illegal and morally shitty behavior but so much focus give company meet lawmaker sell vision that v standard practice es with disruptive model miss,-1,279,45,0
1011,lobby politician use stealth technology block scrutiny report,-1,104,12,0
34,between four of i tuna ifs,-1,47,11,0
2710,try take silver line red line commuter rail home from logan yesterday take two hour get porter miss  train take ,-1,167,27,0
84,guardian break law dupe police and secretly lobby government leak reveal,-1,116,14,0
1148,johns show new greed see as stupid if not take take take for after only very wealthy able afford safe water and reliable food much soon than think,-1,214,41,-1
260,use secret tactic know as kill switch block law enforcement from access company datum during police raid leak document show,-1,173,25,0
3040,break law dupe police and secretly lobby government leak reveal guardian,-1,116,15,0
1491,vow never use first appear and never because of way operate then and still operate just confirm decision,-1,156,28,0
2719,only use eat at work since leave and regret every single time,-1,82,18,0
722,damn near overtime call a tesla call one in city n carry lot,-1,98,25,0
489,macron widen german chancellor name as guardian investigation reveal that break law dupe police and secretly lobby government,-1,171,21,0
2626,guardian break law dupe police and secretly lobby government leak reveal via ,-1,133,16,0
1508,driver keep look at to,-1,38,8,0
270,think technical complexity define value logical flaw but prevail in hype day year ago mad may sell burger but b advanced teach but only lose money metric for value simply generate profit below exclude stake yield on do,-1,304,48,-1
892,report lobby use stealth teach block scrutiny,-1,84,10,0
2012,googly macron,-1,27,7,0
2089,report use stealth teach block scrutiny include kill switch deny authority access electronic evidence,-1,152,20,0
2095,story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,185,22,0
2163,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
132,report lobby use stealth teach block scrutiny from,-1,91,11,0
2952,go get home tonight if not let schedule base on pickup destination location work until close at freaking palmar and live less than minute away by car,-1,188,35,-1
2580,in news at am leak document reveal secretive relationship with top politician,-1,104,16,0
3186,key people in file investigation email,-1,77,9,0
299,,-1,10,1,0
1031,report lobby use stealth teach block scrutiny business news,-1,100,13,0
2715,leak document reveal secret relationship with top politician,-1,96,10,0
889,report lobby use stealth teach block scrutiny,-1,84,10,0
2718,smell of desperation if would sell position after see,-1,91,16,0
2362,driver talk lot,-1,26,6,0
1323,report lobby use stealth teach block scrutiny,-1,84,10,0
1363,more than journalist at medium outlet include we monde  post and be in come day publish series of investigative report break law dupe police and secretly lobby government leak reveal,-1,289,40,0
1655,spend so much on eat year not even,-1,83,15,-1
1115,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
3495,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
1487,file massive leak reveal top politician secretly help,-1,98,12,0
650,never take or left uncomfortable put life in stranger car without vetting also approve of company with culture of sexual harassment and retaliation look like change,-1,228,39,0
1093,happy say that never use,-1,45,10,1
3138,empanel macron secretly aid lobbying drive in france leak reveal world news,-1,112,15,0
2456,empanel macron secretly aid lobbying drive in france leak reveal news,-1,108,13,0
2051,file massive leak reveal top politician secretly help,-1,98,12,0
2111,french president never hide that early supporter but document suggest that backing for controversial company go far beyond know publicly internally lobbyist describe macron as true ally,-1,279,42,0
104,break law dupe police and secretly lobby government leak reveal,-1,102,12,0
1463,break law dupe police and secretly lobby government leak reveal guardian,-1,116,15,0
47,but of so well  empiricist hold fort while tangential paste on fun villain stuff well than of not let play,-1,231,38,-1
861,let become surround by pirate and thief leveraged violent attack against driver pressure politician,-1,162,20,0
1344,break law dupe police and secretly lobby government leak reveal guardian,-1,116,15,0
2992,massive trove of internal document from reveal management discussion and lobbying effort during company rapid international expansion guardian,-1,200,25,0
789,would not set foot in vehicle not for money,-1,58,12,-1
224,unprecedented leak guardian of than document know as file lay bare ethically questionable practice fuel company transformation into one of silicon valley most famous export,-1,263,38,0
279,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
2307,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
519,report lobby use stealth teach block scrutiny,-1,84,10,0
1599,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
1390,try spin as story that change now because traves go but that complete fabrication still not treat worker with dignity and respect and continue break many law with impunity ,-1,234,39,-1
993,think know and try not know for long time because so convenient and live in world of convenience or die but bad news,-1,185,34,-1
3504,allow successful,-1,60,9,0
3523,read about leak remind frustrating repeatedly hear  yet like backwater and not  protect unionized driver,-1,198,31,-1
2922,oh boy file guardian,-1,63,9,0
2375,person once tell law not write enforce guess see willing enforce apology if common legal understanding not lawyer just call lot of for job tag need in court,-1,278,51,-1
2283,as driver wan a tell that reservation job most driver not reservation job as there lot of wait around plus pathetically low fare that pay definitely not worth,-1,210,40,-1
297,verification mantra in government at point every industry tear and rebuild run by monopolistic teach pro follow lead feel quite alone ask but really want like,-1,255,40,0
3171,city sorry again apologize for secretly court empanel macron in  lobbying push force apologize once again after leak file reveal that ride hail giant court top,-1,247,35,0
2708,thousand of leak file expose rope top politician secretly help   uber rope e  ,-1,180,19,0
2181,driver talk too much and with mask,-1,51,11,0
1113,break law dupe police and secretly lobby government leak reveal via guardian,-1,115,14,0
1303,macron go extraordinary length support lobby campaign help disrupt france close shop taxi industry even tell teach company broker secret deal with opponent in french cabinet ,-1,270,38,-1
80,non existent mayor promise not lead with bike shot run by dinosaur that prioritize car all,-1,115,19,-1
2764,summer hot not allow drive left without fully function a not fight for life in backseat,-1,154,30,-1
2297,about medium amp journalism break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,188,24,0
98,empanel macron secretly aid lobbying drive in france leak reveal  france,-1,121,15,0
223,use money from hedge fund et operate at below market cost wipe competition illegal now let see if get brain or just thick think go recoup loss cheap fare once hold monopoly,-1,277,57,0
719,lobby use stealth teach block scrutiny report,-1,84,10,0
978,former coo tell executive violence guarantee success underline capitalism operate globally market create through enormous violence,-1,181,20,0
1040,leak document reveal secretive relationship with top politician ,-1,112,11,0
2949,nothing new but now properly document know grease path in up politician and regulator still look way and comment revelation today completely different organization believe,-1,270,45,-1
1103,file kill switch intense lobbying and driver exploitation leak document reveal cutthroat tactic build ride hail empire via ,-1,189,23,0
3180,officially ass night lot,-1,35,7,0
61,money guardian file leak reveal secret lobbying operation conquer world   guardian,-1,165,18,0
1652,say well marvel really on racist is with  that,-1,107,19,0
704,break law dupe police and secretly lobby government leak reveal guardian,-1,116,15,0
2673,man fuck make trip and fucking driver cancel but still charge full price buck just go ifs,-1,135,25,0
1692,file expose attempt lobby job widen loaf school and gorge borne meanwhile empanel macron secretly aid lobbying in france,-1,173,23,0
102,break law dupe police and secretly lobby government leak reveal guardian,-1,116,15,0
3144,file massive leak reveal top politician secretly help,-1,98,12,0
2888,file massive leak reveal top politician secretly help,-1,98,12,0
1238,break law dupe police and secretly lobby government leak reveal guardian news  ,-1,151,18,0
2188,file massive leak reveal top politician secretly help be news,-1,109,15,0
1659,yo very white drive old school reggae playlet on think because deadlock in profile picture and think jamaica not black people with deadlock jamaica pro,-1,217,39,-1
752,fix jess from logan reverent,-1,50,10,0
1461,baba de go volunteer go drop for red mainland bridge free of charge since u de find u go drown,-1,121,25,0
43,document indicate adept at find unofficial route power apply influence through friend or intermediary or seek encounter with politician at aide and official not present,-1,247,33,-1
1848,leak trove of confidential file reveal inside story of teach giant flout law dupe police exploit violence against driver and secretly lobby government during aggressive global expansion via,-1,268,38,0
2617,leak reveal spread fuck illegal ride sharing globally,-1,96,11,0
1292,break law dupe police and build secret lobbying operation,-1,72,12,0
1649,also  l image de l we corruption massive credit,-1,64,10,0
2531,use be bad ethical reputation toward woman and contractor unsurprisingly bad than,-1,142,21,-1
1446,evil corporation ,-1,58,5,0
3167,break law dupe police and build secret lobbying operation leak reveal via r technology,-1,122,15,0
2555,in quest for global expansion try shore support by discreetly court prime minister president billionaire oligarch and media baron exec acknowledge break law one joke pirate and another concede just fuck illegal,-1,280,40,-1
3196,yes but also churchly fancy thus suitable arm ukraine,-1,73,13,0
728,international consortium of investigative journalist scour internal text email invoice and document deliver call unprecedented look into way defied taxi law and upended worker right,-1,263,35,0
2591,service at pure airport pathetic driver cancel booking and wait for time then fare jack up today late night cab driver cancel ride and software jack price by stop gaming cheat passenger pro plus act,-1,251,43,0
60,poop,-1,9,2,0
2741,multiple trip from account listen operation shamble wait time go from back before driver cancel reach call and give cancel and time go up and down and take local cab out of frustration charge,-1,278,51,0
231,crisis sop hit kill switch shut local system block info got just go on show pathetic in enforce writ lack of capability of india state really scary,-1,235,38,0
553,break law dupe police and secretly lobby government leak reveal newspeak,-1,112,13,0
3181,between and secretly charge additional for go restaurant on  at midnight not include in trip detail order,-1,190,31,-1
2620,require reading lobby world political elite try and get way,-1,111,16,0
3160,file massive leak reveal top politician secretly help macron,-1,109,13,0
1133,we  expose while french taxi driver stage sometimes violent protest in street against my macron on first name term with controversial boss traves  and tell would reform law in firm favor,-1,274,42,0
2333,interesting that city cap on issuance of new taxi plate but cap on contractor almost as if try want drown licensed taxi industry for express benefit of,-1,209,40,0
1302,boss tell staff use kill switch during raid stop police see datum,-1,108,16,0
2868,congrats do for win   win  leak expose practice evening briefing send via ,-1,165,21,0
2170,top story break law dupe police and secretly lobby government leak reveal uber guardian see more,-1,169,22,0
1089,driver not turn,-1,27,5,-1
3187,from eureka moment global domination timeline of aggressive expansion,-1,107,13,0
2127,wait for order than hour and just now cancel and everything of cause not charge kind of support that,-1,153,31,-1
2619,check leak reveal spread fuck illegal ride sharing globally,-1,112,14,0
1822,open smarter and read break law dupe police and secretly lobby government leak document show here read on web tap here,-1,201,27,0
926,empanel macron secretly aid lobbying drive in france leak reveal,-1,99,12,0
257,nerd even one of ya,-1,26,5,0
1193,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
798,not surprise anyone first globally know thing about mass obstructing rape investigation against employee then cross market exploit dominance push no liberal ideal union breaker replace cab amp black cab enemy ,-1,284,39,-1
895,report lobby use stealth teach block scrutiny,-1,84,10,0
2018,file massive leak reveal top politician secretly help,-1,98,12,0
549,break law dupe police and secretly lobby government leak reveal guardian,-1,115,15,0
1762,break law dupe police and secretly lobby government leak reveal,-1,101,12,0
1337,eat driver never deliver order hope choke on chicken bone,-1,93,18,0
1029,break law dupe police and secretly lobby government leak reveal guardian,-1,116,15,0
2632,business insider use secret tactic know as kill switch block law enforcement from access company datum during police raid leak document show,-1,217,29,0
